name,lat,lon,timezone
PSTU,5.02512,118.3036,Singapore Standard Time
RJAN,2.30658,111.83685,Singapore Standard Time
SEAW,3.190639,113.041657,Singapore Standard Time
HLDT,5.028212,118.309243,Singapore Standard Time
YANB,3.195833,113.07236,Singapore Standard Time
AUYO,2.312222,111.837483,Singapore Standard Time
LOKW,5.83607,116.04358,Singapore Standard Time
ASSY,3.197138,113.05486,Singapore Standard Time
TNJB,3.198788,113.046881,Singapore Standard Time
AIRM,4.330812,113.98564,Singapore Standard Time
PCBB,3.18691,113.039078,Singapore Standard Time
SBDR,2.278881,111.954907,Singapore Standard Time
TMPT,4.43827,114.021287,Singapore Standard Time
TSPA,5.338317,115.723233,Singapore Standard Time
LMAU,5.815888,116.034205,Singapore Standard Time
ROSE,5.82538,116.03616,Singapore Standard Time
HAND,4.396416,113.99053,Singapore Standard Time
BCHK,5.822395,116.01906,Singapore Standard Time
SHIN,5.908951,116.047797,Singapore Standard Time
TKKA,5.913851,116.049961,Singapore Standard Time
PCTA,5.901892,116.047591,Singapore Standard Time
PSPT,5.898627,116.039603,Singapore Standard Time
TKIS,5.722803,115.926607,Singapore Standard Time
PELT,4.390385,113.987574,Singapore Standard Time
MDNJ,3.19934,113.06113,Singapore Standard Time
NOVU,5.709475,115.944398,Singapore Standard Time
LKUT,5.72876,115.95137,Singapore Standard Time
DYNM,4.363285,113.985866,Singapore Standard Time
KGSI,3.166423,113.050019,Singapore Standard Time
BNTA,4.40025,113.99511,Singapore Standard Time
SIBA,2.25433,111.9875,Singapore Standard Time
PRMH,4.254337,117.89693,Singapore Standard Time
KGCE,4.373861,113.982972,Singapore Standard Time
LIHU,3.182694,113.05119,Singapore Standard Time
KAMY,5.848757,118.11978,Singapore Standard Time
TNGT,4.250701,117.907009,Singapore Standard Time
PGAT,5.75338,115.9612,Singapore Standard Time
AWMM,4.364318,113.975753,Singapore Standard Time
BEKY,4.248499,117.901905,Singapore Standard Time
BKSB,5.882,116.091468,Singapore Standard Time
DUCH,5.855464,118.102963,Singapore Standard Time
HELE,4.39999,113.98937,Singapore Standard Time
TMPA,5.7292,115.935,Singapore Standard Time
KMNA,3.146921,113.082762,Singapore Standard Time
SABN,5.831359,116.03984,Singapore Standard Time
SDKM,5.839735,118.120857,Singapore Standard Time
HPSG,5.02639,118.33574,Singapore Standard Time
DLTA,2.310696,111.824558,Singapore Standard Time
SABS,4.244159,117.893177,Singapore Standard Time
KGMU,5.863609,118.092133,Singapore Standard Time
PCRZ,3.18024,113.03694,Singapore Standard Time
UMKA,4.24427,117.88836,Singapore Standard Time
